section_id,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FM0013 K|316|0.5,,,,,,85.0,37.0,100.0,87.0,32.0,72.0,53.0,32.0,26.0,18.0,19.0,,,,,,,,,,,,,
FM0055 K|314|0.6,24.0,,,24.0,20.0,12.0,1.0,32.0,14.0,14.0,13.0,13.0,6.0,,36.0,32.0,25.0,30.0,23.0,45.0,37.0,,,,,,,,
FM0066 K|584|0.5,1.0,,2.0,,11.0,2.0,1.0,,4.0,5.0,4.0,3.0,6.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,9.0,9.0,3.0,1.0,9.0,2.0,3.0,,
FM0076 L|344|0.0,,,,,,,,84.0,90.0,,34.0,100.0,99.0,100.0,71.0,78.0,78.0,90.0,59.0,95.0,65.0,59.0,55.0,42.0,66.0,51.0,68.0,50.0,41.0
FM0076 L|344|0.5,,,,,,,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,99.0,93.0,98.0,92.0,99.0,94.0,96.0
FM0076 L|344|1.0,,,,,,,100.0,100.0,100.0,100.0,100.0,100.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0
FM0076 L|344|1.5,,,,,,,48.0,29.0,84.0,100.0,100.0,62.0,100.0,100.0,84.0,100.0,84.0,100.0,95.0,100.0,95.0,84.0,96.0,87.0,68.0,81.0,100.0,96.0,96.0
FM0076 L|346|0.0,,,,,,,,,,,,95.0,85.0,90.0,100.0,78.0,99.0,97.0,92.0,95.0,91.0,92.0,100.0,97.0,46.0,100.0,100.0,100.0,97.0
FM0076 L|346|0.5,,,,,,,,,,,,100.0,95.0,99.0,90.0,99.0,84.0,90.0,84.0,78.0,78.0,77.0,73.0,73.0,81.0,70.0,93.0,83.0,80.0
FM0076 L|346|0.9,,,,,,,,,,95.0,,90.0,95.0,100.0,95.0,95.0,94.0,88.0,90.0,90.0,,,,,,,,,
FM0076 L|346|1.4,,,,,,,,,,100.0,100.0,83.0,99.0,95.0,73.0,95.0,97.0,90.0,100.0,88.0,,,,,,,,,
FM0076 L|346|1.9,,,,,34.0,48.0,,30.0,,84.0,44.0,52.0,,36.0,44.0,,56.0,29.0,40.0,1.0,,,,,,,,,
