section_id,roadbed,begin_marker,begin_disp,district,county,pavtype,begin_dfo,end_dfo,n_years,lon,lat
BU0287PK|288|0.0,BU0287PK,288,0.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),34.473,34.973,24,-97.151269,32.582338
BU0287PK|288|0.5,BU0287PK,288,0.5,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),34.973,35.473,24,-97.151263,32.589045
BU0287PK|288|1.0,BU0287PK,288,1.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),35.473,35.973,10,-97.149107,32.594842
BU0287PL|262|1.9,BU0287PL,262,1.9,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.0435,10.152,15,-97.361041,32.842108
BU0287PL|264|0.0,BU0287PL,264,0.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.152,10.352,27,-97.36126,32.841721
BU0287PL|264|0.2,BU0287PL,264,0.2,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.352,10.852,18,-97.361717,32.840914
BU0287PL|264|0.7,BU0287PL,264,0.7,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.852,11.252,12,-97.362147,32.840104
BU0287PR|262|1.7,BU0287PR,262,1.7,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),9.8435,10.0435,10,-97.360888,32.842759
BU0287PR|262|1.9,BU0287PR,262,1.9,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.0435,10.151,15,-97.361198,32.842179
BU0287PR|264|0.0,BU0287PR,264,0.0,02 - FORT WORTH,220 - TARRANT,C - CONTINUOUSLY REINFORCED CONCRETE PAVEMENT (CRCP),10.151,10.351,27,-97.361444,32.841741
